1|20|10001+|1|0|
2|7|501-1000|2|0|
3|13|5001-10000|1|2|
4|16|501-1000|4|0|
5|10|10001+|3|4|
6|20|0-500|4|4|
7|8|5001-10000|2|2|
8|3|5001-10000|4|1|
9|11|10001+|3|4|
10|9|5001-10000|2|1|
11|15|1001-5000|4|4|
12|11|5001-10000|1|1|
13|10|5001-10000|5|1|
14|9|10001+|3|3|
15|17|1001-5000|1|4|
16|9|5001-10000|0|0|
17|17|1001-5000|2|4|
18|6|1001-5000|1|2|
19|6|1001-5000|0|4|
20|7|5001-10000|1|3|
21|5|5001-10000|5|2|
22|1|0-500|1|1|
23|10|5001-10000|2|4|
24|16|0-500|3|3|
25|10|1001-5000|1|0|
26|7|10001+|4|2|
27|11|5001-10000|2|2|
28|4|501-1000|1|0|
29|11|5001-10000|3|3|
30|13|5001-10000|4|4|
31|15|10001+|2|1|
32|10|1001-5000|3|4|
33|5|0-500|1|0|
34|19|0-500|1|1|
35|9|0-500|4|3|
36|12|10001+|2|2|
37|9|501-1000|5|2|
38|20|5001-10000|5|3|
39|16|501-1000|4|0|
40|2|10001+|2|3|
41|18|501-1000|5|2|
42|13|501-1000|5|2|
43|9|1001-5000|1|4|
44|7|5001-10000|3|0|
45|18|501-1000|4|2|
46|3|0-500|4|1|
47|16|1001-5000|4|2|
48|1|5001-10000|3|2|
49|8|0-500|1|2|
50|15|10001+|2|3|
51|14|501-1000|2|2|
52|18|1001-5000|2|1|
53|10|10001+|4|4|
54|9|501-1000|2|3|
55|10|0-500|0|1|
56|9|1001-5000|3|3|
57|1|501-1000|3|4|
58|1|1001-5000|2|2|
59|11|0-500|3|0|
60|4|1001-5000|1|1|
61|4|1001-5000|4|3|
62|16|0-500|2|3|
63|1|10001+|0|1|
64|8|1001-5000|5|4|
65|19|1001-5000|2|0|
66|17|1001-5000|0|3|
67|3|501-1000|3|0|
68|11|1001-5000|3|0|
69|7|10001+|3|1|
70|4|501-1000|0|4|
71|8|501-1000|3|0|
72|15|10001+|5|3|
73|16|5001-10000|2|0|
74|5|1001-5000|5|3|
75|3|10001+|5|2|
76|2|5001-10000|4|0|
77|6|501-1000|3|1|
78|14|0-500|3|2|
79|13|10001+|2|0|
80|11|1001-5000|4|3|
81|7|0-500|1|2|
82|9|1001-5000|2|2|
83|1|1001-5000|4|4|
84|20|10001+|5|0|
85|3|5001-10000|2|4|
86|18|5001-10000|1|3|
87|10|10001+|4|3|
88|3|501-1000|1|2|
89|4|0-500|1|3|
90|16|501-1000|5|3|
91|15|10001+|1|1|
92|7|1001-5000|1|0|
93|4|0-500|3|0|
94|17|501-1000|5|4|
95|13|5001-10000|2|0|
96|14|5001-10000|3|1|
97|17|5001-10000|3|2|
98|18|1001-5000|0|2|
99|6|1001-5000|4|2|
100|19|0-500|3|4|
101|15|501-1000|5|2|
102|4|5001-10000|4|1|
103|18|1001-5000|4|1|
104|20|501-1000|4|4|
105|2|1001-5000|3|3|
106|9|10001+|4|4|
107|18|0-500|3|2|
108|18|1001-5000|1|0|
109|6|0-500|5|1|
110|5|501-1000|2|1|
111|5|1001-5000|5|1|
112|1|0-500|0|3|
113|13|5001-10000|4|4|
114|18|0-500|3|3|
115|5|1001-5000|3|1|
116|3|501-1000|1|1|
117|11|1001-5000|0|4|
118|9|10001+|3|4|
119|13|501-1000|0|4|
120|13|10001+|1|1|
121|6|5001-10000|2|3|
122|13|5001-10000|5|2|
123|19|10001+|3|3|
124|20|5001-10000|1|4|
125|18|0-500|5|4|
126|16|1001-5000|5|2|
127|7|5001-10000|5|0|
128|19|501-1000|5|2|
129|3|0-500|5|3|
130|8|5001-10000|1|3|
131|13|1001-5000|4|2|
132|14|501-1000|3|2|
133|1|0-500|1|0|
134|12|1001-5000|4|4|
135|19|5001-10000|4|0|
136|16|501-1000|3|3|
137|17|501-1000|3|2|
138|5|0-500|4|2|
139|12|0-500|0|3|
140|5|0-500|4|2|
141|1|10001+|4|2|
142|11|5001-10000|4|3|
143|18|1001-5000|4|2|
144|20|1001-5000|2|0|
145|3|501-1000|0|2|
146|13|5001-10000|0|2|
147|10|5001-10000|3|1|
148|17|0-500|4|0|
149|5|0-500|0|0|
150|18|0-500|4|4|
151|18|5001-10000|5|0|
152|7|501-1000|0|3|
153|12|10001+|2|0|
154|9|1001-5000|2|0|
155|17|1001-5000|1|3|
156|11|0-500|5|0|
157|9|501-1000|5|3|
158|10|501-1000|5|3|
159|20|0-500|2|4|
160|20|5001-10000|4|2|
161|5|501-1000|4|2|
162|17|5001-10000|4|4|
163|18|10001+|2|1|
164|10|501-1000|0|0|
165|1|501-1000|2|0|
166|2|10001+|1|1|
167|3|1001-5000|0|3|
168|13|1001-5000|2|1|
169|18|1001-5000|1|4|
170|1|0-500|3|1|
171|2|5001-10000|2|2|
172|2|5001-10000|4|0|
173|20|5001-10000|3|2|
174|19|1001-5000|0|3|
175|13|10001+|4|3|
176|18|0-500|0|0|
177|15|1001-5000|3|4|
178|18|10001+|4|0|
179|15|0-500|4|2|
180|8|0-500|0|2|
181|19|1001-5000|5|2|
182|19|1001-5000|3|0|
183|18|1001-5000|0|3|
184|17|10001+|5|4|
185|12|0-500|1|0|
186|12|10001+|1|3|
187|1|5001-10000|4|4|
188|16|5001-10000|0|1|
189|6|0-500|3|0|
190|3|1001-5000|1|1|
191|11|0-500|1|3|
192|9|501-1000|4|1|
193|14|10001+|0|3|
194|14|10001+|3|3|
195|5|5001-10000|2|4|
196|10|501-1000|4|4|
197|12|5001-10000|2|0|
198|2|10001+|3|4|
199|1|0-500|3|0|
200|8|1001-5000|2|1|
201|18|5001-10000|3|2|
202|8|501-1000|5|2|
203|9|1001-5000|2|3|
204|20|5001-10000|2|3|
205|6|0-500|5|0|
206|19|10001+|0|1|
207|13|501-1000|5|3|
208|18|5001-10000|2|0|
209|20|0-500|4|0|
210|13|501-1000|5|1|
211|12|5001-10000|4|2|
212|2|1001-5000|0|3|
213|5|10001+|1|1|
214|8|0-500|3|4|
215|2|1001-5000|3|1|
216|17|0-500|1|0|
217|18|5001-10000|2|2|
218|5|0-500|5|1|
219|8|10001+|4|2|
220|8|10001+|2|0|
221|19|1001-5000|2|2|
222|2|5001-10000|0|3|
223|3|0-500|2|2|
224|8|0-500|2|3|
225|4|10001+|1|1|
226|11|0-500|3|3|
227|6|5001-10000|4|0|
228|4|5001-10000|5|4|
229|9|1001-5000|2|0|
230|15|5001-10000|0|0|
231|10|10001+|4|0|
232|4|1001-5000|4|2|
233|17|0-500|1|1|
234|20|0-500|2|0|
235|7|10001+|1|0|
236|5|501-1000|4|2|
237|11|501-1000|5|0|
238|8|5001-10000|1|1|
239|7|1001-5000|3|1|
240|6|0-500|3|0|
241|17|5001-10000|3|3|
242|5|10001+|4|2|
243|10|10001+|5|2|
244|1|0-500|4|1|
245|8|5001-10000|1|4|
246|16|5001-10000|0|1|
247|1|0-500|1|4|
248|16|5001-10000|5|4|
249|13|0-500|0|1|
250|18|5001-10000|2|3|
251|15|1001-5000|3|1|
252|12|501-1000|5|2|
253|19|0-500|5|4|
254|9|5001-10000|5|1|
255|18|501-1000|5|3|
256|3|10001+|5|4|
257|4|1001-5000|5|4|
258|8|501-1000|3|1|
259|7|5001-10000|1|4|
260|7|10001+|5|4|
261|3|0-500|5|4|
262|20|1001-5000|2|1|
263|1|5001-10000|0|0|
264|18|1001-5000|3|1|
265|18|501-1000|2|1|
266|19|501-1000|0|3|
267|17|1001-5000|0|4|
268|3|1001-5000|5|3|
269|1|1001-5000|5|3|
270|5|1001-5000|3|1|
271|1|501-1000|4|2|
272|20|10001+|4|1|
273|7|501-1000|0|1|
274|1|5001-10000|1|4|
275|11|0-500|2|2|
276|9|0-500|0|3|
277|3|10001+|2|4|
278|18|501-1000|2|4|
279|13|10001+|4|0|
280|7|5001-10000|2|2|
281|20|0-500|1|2|
282|5|501-1000|0|3|
283|19|5001-10000|2|0|
284|18|1001-5000|5|0|
285|1|501-1000|5|2|
286|7|5001-10000|5|1|
287|1|501-1000|1|0|
288|15|1001-5000|2|4|
289|8|0-500|4|0|
290|18|5001-10000|1|1|
291|12|5001-10000|1|2|
292|1|1001-5000|4|1|
293|16|5001-10000|2|4|
294|1|501-1000|0|4|
295|14|10001+|5|1|
296|10|0-500|1|0|
